index,date,daily_silo_wt_in_tons,weekly_total_tons,mtd_running_total_tons,monthly_grand_total
0,2023-06-01,70.0,,70.0,
1,2023-06-02,65.0,,135.0,
2,2023-06-03,45.0,,180.0,
3,2023-06-04,40.0,,220.0,
4,2023-06-05,53.0,,273.0,
5,2023-06-06,62.0,,335.0,
6,2023-06-07,70.0,405.0,405.0,
7,2023-06-08,80.0,,485.0,
8,2023-06-09,65.0,,550.0,
9,2023-06-10,43.0,,593.0,
10,2023-06-11,40.0,,633.0,
11,2023-06-12,50.0,,683.0,
12,2023-06-13,65.0,,748.0,
13,2023-06-14,66.0,409.0,814.0,
14,2023-06-15,80.0,,894.0,
15,2023-06-16,65.0,,959.0,
16,2023-06-17,45.0,,1004.0,
17,2023-06-18,40.0,,1044.0,
18,2023-06-19,50.0,,1094.0,
19,2023-06-20,65.0,,1159.0,
20,2023-06-21,78.0,423.0,1237.0,
21,2023-06-22,80.0,,1317.0,
22,2023-06-23,65.0,,1382.0,
23,2023-06-24,41.0,,1423.0,
24,2023-06-25,35.0,,1458.0,
25,2023-06-26,50.0,,1508.0,
26,2023-06-27,65.0,,1573.0,
27,2023-06-28,70.0,406.0,1643.0,
28,2023-06-29,80.0,,1723.0,
29,2023-06-30,83.0,,1806.0,1806.0
